l2_word,l1_translation,pinyin,tone_numbers,ipa_pronunciation,part_of_speech,l2_example_sentence,l1_example_translation,hsk_level,tags,source
你好,hello,nǐ hǎo,3-3,/ni˨˩˦ xau˨˩˦/,interjection,你好！你好吗？,Hello! How are you?,HSK1,greeting;core,guide
谢谢,thank you,xiè xie,4-0,/ɕje˥˩ ɕje/,interjection,谢谢你！,Thank you!,HSK1,courtesy;core,guide
中国,China,Zhōng guó,1-2,/ʈʂʊŋ˥ kwo˧˥/,proper noun,我来自中国。,I am from China.,HSK1,country;core,guide
是,to be; yes,shì,4,/ʂʐ̩˥˩/,verb,我是学生。,I am a student.,HSK1,verb;core,guide
女,woman; female,nǚ,3,/ny˨˩˦/,noun,她是女老师。,She is a female teacher.,HSK1,noun;core,guide
我,I; me,wǒ,3,/wo˨˩˦/,pronoun,我是美国人。,I am American.,HSK1,pronoun;core,hsk1
你,you,nǐ,3,/ni˨˩˦/,pronoun,你好吗？,How are you?,HSK1,pronoun;core,hsk1
他,he; him,tā,1,/tʰa˥/,pronoun,他是我的朋友。,He is my friend.,HSK1,pronoun;core,hsk1
她,she; her,tā,1,/tʰa˥/,pronoun,她是老师。,She is a teacher.,HSK1,pronoun;core,hsk1
我们,we; us,wǒmen,3-0,/wo˨˩˦ mən/,pronoun,我们是朋友。,We are friends.,HSK1,pronoun;core,hsk1
不,no; not,bù,4,/pu˥˩/,adverb,我不是学生。,I am not a student.,HSK1,negation;core,hsk1
有,have; there is,yǒu,3,/joʊ˨˩˦/,verb,我有一本书。,I have a book.,HSK1,verb;core,hsk1
在,at; in; be at,zài,4,/tsaj˥˩/,verb,我在中国。,I am in China.,HSK1,verb;location;core,hsk1
来,come,lái,2,/laj˧˥/,verb,他来了。,He has come.,HSK1,verb;core,hsk1
去,go,qù,4,/tɕʰy˥˩/,verb,我去学校。,I go to school.,HSK1,verb;core,hsk1
说,speak; say,shuō,1,/ʂwo˥/,verb,她说中文。,She speaks Chinese.,HSK1,verb;core,hsk1
吃,eat,chī,1,/ʈʂʰɹ̩˥/,verb,我吃米饭。,I eat rice.,HSK1,verb;food;core,hsk1
喝,drink,hē,1,/xɤ˥/,verb,我喝水。,I drink water.,HSK1,verb;food;core,hsk1
看,look; watch; read,kàn,4,/kʰan˥˩/,verb,我看书。,I read a book.,HSK1,verb;core,hsk1
听,listen; hear,tīng,1,/tʰiŋ˥/,verb,我听音乐。,I listen to music.,HSK1,verb;core,hsk1
买,buy,mǎi,3,/maj˨˩˦/,verb,我买水果。,I buy fruit.,HSK1,verb;core,hsk1
好,good; well,hǎo,3,/xau˨˩˦/,adjective,这个很好。,This is very good.,HSK1,adjective;core,hsk1
大,big; large,dà,4,/ta˥˩/,adjective,这是大房子。,This is a big house.,HSK1,adjective;core,hsk1
小,small; little,xiǎo,3,/ɕjau˨˩˦/,adjective,这是小猫。,This is a small cat.,HSK1,adjective;core,hsk1
多,many; much,duō,1,/two˥/,adjective,这里有很多人。,There are many people here.,HSK1,adjective;quantity;core,hsk1
少,few; little,shǎo,3,/ʂau˨˩˦/,adjective,这里人很少。,There are few people here.,HSK1,adjective;quantity;core,hsk1
一,one,yī,1,/i˥/,number,我有一个苹果。,I have one apple.,HSK1,number;core,hsk1
两,two (of something),liǎng,3,/ljaŋ˨˩˦/,number,我有两个苹果。,I have two apples.,HSK1,number;core,hsk1
三,three,sān,1,/san˥/,number,我有三个朋友。,I have three friends.,HSK1,number;core,hsk1
今天,today,jīn tiān,1-1,/tɕin˥ tʰjɛn˥/,noun,今天天气很好。,The weather is good today.,HSK1,time;core,hsk1
明天,tomorrow,míng tiān,2-1,/miŋ˧˥ tʰjɛn˥/,noun,明天我去学校。,Tomorrow I will go to school.,HSK1,time;core,hsk1
中文,Chinese (language),Zhōng wén,1-2,/ʈʂʊŋ˥ wən˧˥/,noun,我学中文。,I study Chinese.,HSK1,language;core,hsk1
朋友,friend,péng yǒu,2-3,/pʰɤŋ˧˥ joʊ˨˩˦/,noun,他是我的朋友。,He is my friend.,HSK1,noun;social;core,hsk1
老师,teacher,lǎo shī,3-1,/lau˨˩˦ ʂʐ̩˥/,noun,她是老师。,She is a teacher.,HSK1,noun;occupation;core,hsk1
学生,student,xué shēng,2-1,/ɕyɛ˧˥ ʂɤŋ˥/,noun,我是学生。,I am a student.,HSK1,noun;occupation;core,hsk1
