English,Arabic,Bengali,Chinese (Traditional),Farsi,French,German,Pashto,Portuguese,Spanish,Swahili,Turkish,Ukrainian,Urdu,Part of Speech,Example sentence,Grammar explanation,
A blessing in disguise,نعمة مقنعة,অপ্রত্যাশিত ভালো ঘটনা,因禍得福,نعمت پنهان,bénédiction déguisée,Glück im Unglück,پټه ګټه,bênção disfarçada,bendición disfrazada,baraka iliyofichika,kılık değiştirmiş nimet,приховане благо,چھپی ہوئی نعمت,idiom,Losing that job was a blessing in disguise because she found a better one later.,Something that seems bad at first but turns out beneficial.,
Abate,يخفّ,কমে যাওয়া,減輕,فروکش کردن,s’atténuer,nachlassen,کمېدل,diminuir,disminuir,kupungua,azalmak,послаблюватися,کم ہونا,verb,The storm began to abate.,To reduce in intensity.,
Aberration,انحراف,ব্যতিক্রম,異常,انحراف,aberration,Anomalie,انحراف,aberração,aberración,hali isiyo ya kawaida,sapma,відхилення,انحراف,noun,The unusually warm winter was an aberration.,Departure from what is normal.,
Abeyance,تعليق,স্থগিত,擱置,تعلیق,suspension,Aussetzung,ځنډ,suspensão,suspensión,kusitishwa,askıya alma,призупинення,التوا,noun,The project is in abeyance.,Temporary suspension.,
Abridge,اختصر,সংক্ষিপ্ত করা,刪節,خلاصه کردن,abréger,verkürzen,لنډول,resumir,abreviar,kufupisha,kısaltmak,скорочувати,مختصر کرنا,verb,The text was abridged.,To shorten.,
Abrogate,يلغي,বাতিল করা,廢除,لغو کردن,abroger,aufheben,لغوه کول,revogar,abrogar,kufuta,iptal etmek,скасовувати,منسوخ کرنا,verb,The treaty was abrogated.,To formally cancel.,
Abstain,يمتنع,বিরত থাকা,棄權,خودداری کردن,s’abstenir,verzichten,ډډه کول,abster-se,abstenerse,kuepuka,kaçınmak,утримуватися,پرہیز کرنا,verb,Many voters abstained from the election.,To deliberately refrain from doing something.,
Abstract,ملخص,সারসংক্ষেপ,摘要,چکیده,résumé,Zusammenfassung,لنډيز,resumo,resumen,muhtasari,özet,анотація,خلاصہ,noun,The article’s abstract summarized the main findings.,A short summary of an academic paper or study.,
Abstruse,معقد,দুর্বোধ্য,深奧,پیچیده,abstrus,dunkel,پیچلی,abstruso,abstruso,ya kueleweka kwa shida,karmaşık,складний,پیچیدہ,adjective,The theory is abstruse.,Difficult to understand.,
Abundant,وفير,প্রচুর,豐富的,فراوان,abondant,reichlich,ډېر زيات,abundante,abundante,tele,sarı,достатній,کثرت,adjective,Resources are abundant here.,Plentiful or more than enough.,
Acclaim,إشادة,প্রশংসা,讚譽,تحسین,acclamation,Lob,ستاینه,aclamação,aclamación,sifa,alkış,визнання,تعریف,noun,The book received critical acclaim.,Formal praise.,
Accountability,المساءلة,জবাবদিহিতা,問責,پاسخگویی,responsabilité,Rechenschaftspflicht,حساب ورکول,responsabilidade,responsabilidad,uwajibikaji,hesap verebilirlik,підзвітність,احتساب,noun,Leadership requires accountability.,Being responsible for actions.,
Accretion,تراكم,সঞ্চয়,累積,تجمع,accrétion,Anhäufung,تجمع,acréscimo,acreción,mkusanyiko,birikim,наростання,جمع,noun,Accretion of knowledge takes time.,Growth by gradual addition.,
Acquiesce,يوافق ضمنيًا,মৌন সম্মতি দেওয়া,默許,تسلیم شدن,acquiescer,zustimmen,منل,acquiescer,acquiescer,kukubali bila kupinga,zımnen kabul etmek,погоджуватися,خاموشی سے مان لینا,verb,They acquiesced to the demand.,To accept reluctantly.,
Acquisition,استحواذ,অধিগ্রহণ,收購,اکتساب,acquisition,Übernahme,ترلاسه کول,aquisição,adquisición,upatikanaji,satın alma,придбання,حصول,noun,The acquisition was approved.,Purchase of company/assets.,
