Cantonese (Traditional),Cantonese (Simplified),Jyutping,Yale,English 1,English 2,Tags
係,系,hai6,hai,to be (is/am/are),,supplemental
唔係,唔系,m4 hai6,m hai,is not / am not / are not,,supplemental
喺,喺,hai2,hai,at / in / on (location),,supplemental
冇,冇,mou5,mou,don't have / there is no / no,,supplemental
唔,唔,m4,m,not (negation prefix),,supplemental
嘅,嘅,ge3,ge,possessive / sentence-final particle,,supplemental
囉,囉,lo3,lo,sentence-final: obviousness / resignation,,supplemental
喎,喎,wo3,wo,sentence-final: hearsay / mild surprise,,supplemental
咋,咋,zaa3,ja,only / just / that's all,,supplemental
囉,囉,lo1,lo,sentence-final: softer assertion,,supplemental
咗,咗,zo2,jo,completed action marker (aspect particle),,supplemental
緊,緊,gan2,gan,ongoing action marker (aspect particle),,supplemental
住,住,zyu6,jyu,continuous state marker (aspect particle),,supplemental
埋,埋,maai4,maai,also do / do in addition,,supplemental
喇,喇,laa3,la,changed state / new situation particle,,supplemental
㗎,㗎,gaa3,ga,emphatic assertion particle,,supplemental
囉喎,囉喎,lo3 wo3,lo wo,sentence-final: obvious surprise combo,,supplemental
點,点,dim2,dim,how / what way,,supplemental
點解,点解,dim2 gaai2,dim gaai,why,,supplemental
點樣,点样,dim2 joeng2,dim yeung,how / in what way,,supplemental
幾時,几时,gei2 si4,gei si,when,,Cantonese Cantonese::CantoneseClass101 Cantonese::Lessons Cantonese::Pronouns supplemental
邊度,边度,bin1 dou6,bin dou,where,,Cantonese::CantoneseClass101 Cantonese::Lessons Cantonese::Pronouns supplemental
邊個,边个,bin1 go3,bin go,who / which one,,supplemental
乜嘢,乜嘢,mat1 je5,mat ye,what,,Cantonese::Pronouns supplemental
咩,咩,me1,me,what (colloquial),,supplemental
幾多,几多,gei2 do1,gei do,how many / how much,,supplemental
幾多錢,几多钱,gei2 do1 cin2,gei do chin,how much money,,supplemental
幾,几,gei2,gei,how / quite / several,,supplemental
靚,靓,leng3,leng,pretty / beautiful / good-looking (Cantonese),,supplemental
平,平,peng4,peng,cheap / inexpensive (Cantonese),,supplemental
細,细,sai3,sai,small / little (Cantonese),,supplemental
叻,叻,lek1,lek,clever / capable (Cantonese),,supplemental
勁,劲,ging6,ging,powerful / awesome (Cantonese),,supplemental
型,型,jing4,ying,stylish / cool-looking,,supplemental
索,索,sok3,sok,attractive / hot (colloquial),,supplemental
嘈,嘈,cou4,cho,noisy,,supplemental
靜,静,zing6,jing,quiet / peaceful,,supplemental
乾淨,干净,gon1 zeng6,gon jeng,clean,,supplemental
污糟,污糟,wu1 zou1,wu jou,dirty (Cantonese),,supplemental
舒服,舒服,syu1 fuk6,syu fuk,comfortable,,supplemental
辛苦,辛苦,san1 fu2,san fu,hard work / tiring / suffering,,supplemental
方便,方便,fong1 bin6,fong bin,convenient,,supplemental
麻煩,麻烦,maa4 faan4,ma faan,troublesome / to bother,,supplemental
嚟,嚟,lai4,lai,to come (Cantonese),,supplemental
返,返,faan1,faan,to return / go back,,supplemental
睇,睇,tai2,tai,to look / watch / read (Cantonese),,supplemental
揾,揾,wan2,wan,to look for / find (Cantonese),,supplemental
識,识,sik1,sik,to know / be able to (Cantonese),,supplemental
唔識,唔识,m4 sik1,m sik,don't know / can't (Cantonese),,supplemental
話,话,waa6,wa,to say / to speak,,supplemental
走,走,zau2,jau,to leave / walk away (Cantonese),,supplemental
企,企,kei5,kei,to stand (Cantonese),,supplemental
瞓,瞓,fan3,fan,to sleep (Cantonese),,supplemental
攞,攞,lo2,lo,to take / get / grab (Cantonese),,supplemental
閂,闩,saan1,saan,to close / shut (Cantonese),,supplemental
搵,搵,wan2,wan,to look for / earn (Cantonese),,supplemental
鍾意,钟意,zung1 ji3,jung yi,to like / be fond of (Cantonese),,supplemental
唔鍾意,唔钟意,m4 zung1 ji3,m jung yi,to dislike,,supplemental
驚,惊,geng1,geng,to be scared / afraid (Cantonese),,supplemental
喊,喊,haam3,haam,to cry (Cantonese),,supplemental
頂,顶,ding2,ding,to endure / push up / to top (Cantonese),,supplemental
搞,搞,gaau2,gaau,to handle / deal with / do,,supplemental
搞掂,搞掂,gaau2 dim6,gaau dim,done / sorted / settled (Cantonese),,supplemental
記得,记得,gei3 dak1,gei dak,to remember,,Cantonese::Verbs supplemental
唔記得,唔记得,m4 gei3 dak1,m gei dak,to forget,,supplemental
起身,起身,hei2 san1,hei san,to get up / wake up,,supplemental
沖涼,冲凉,cung1 loeng4,chung leung,to shower / bathe (Cantonese),,supplemental
搭,搭,daap3,daap,to take (transport) / board,,supplemental
試,试,si3,si,to try,,supplemental
得,得,dak1,dak,can / okay / fine,,supplemental
唔得,唔得,m4 dak1,m dak,cannot / not okay,,supplemental
使,使,sai2,sai,to need to / must (Cantonese: 唔使 = don't need to),,supplemental
唔使,唔使,m4 sai2,m sai,don't need to / no need,,supplemental
唔該,唔该,m4 goi1,m goi,thank you (for service) / excuse me (Cantonese),,supplemental
多謝,多谢,do1 ze6,do je,thank you (for a gift/favour),,supplemental
唔駛客氣,唔使客气,m4 sai2 haak3 hei3,m sai haak hei,you're welcome / no need to be polite,,supplemental
唔緊要,唔紧要,m4 gan2 jiu3,m gan yiu,it's okay / never mind / no worries,,supplemental
冇問題,冇问题,mou5 man6 tai4,mou man tai,no problem,,supplemental
係囉,系囉,hai6 lo3,hai lo,exactly / that's right / indeed,,supplemental
即係,即系,zik1 hai6,jik hai,that is to say / meaning / i.e.,,supplemental
即管,即管,zik1 gun2,jik gun,go ahead / feel free,,supplemental
冇所謂,冇所谓,mou5 so2 wai6,mou so wai,doesn't matter / don't care,,supplemental
好耐冇見,好耐冇见,hou2 noi6 mou5 gin3,hou noi mou gin,long time no see,,supplemental
保重,保重,bou2 zung6,bou jung,take care (farewell),,supplemental
請問,请问,cing2 man6,ching man,excuse me / may I ask,,supplemental
辛苦晒,辛苦晒,san1 fu2 saai3,san fu saai,thank you for your hard work,,supplemental
